Start time = Sat Mar  6 19:59:36 2021

Format: rel.time(s) press(Pa) altitude(m) temp(oC) [pitch roll yaw](rad) [ax ay az](Gs)

-12.1481;por definir;[0.011, 0.075, 0.985];[359.328, 4.403, 198.378];1615060780.20256
-12.1481;por definir;[0.01, 0.075, 0.982];[359.328, 4.403, 198.378];1615060780.20256
-12.1622;por definir;[0.012, 0.076, 0.984];[359.335, 4.405, 198.467];1615060780.27059
-12.1622;por definir;[0.013, 0.075, 0.984];[359.332, 4.402, 198.505];1615060780.30607
-12.1562;por definir;[0.012, 0.076, 0.985];[359.332, 4.402, 198.505];1615060780.30607
-12.1784;por definir;[0.012, 0.075, 0.985];[359.332, 4.399, 198.574];1615060780.37348
-12.1784;por definir;[0.011, 0.075, 0.985];[359.332, 4.399, 198.574];1615060780.37348
-12.1925;por definir;[0.013, 0.076, 0.983];[359.332, 4.4, 198.599];1615060780.41097
-12.1744;por definir;[0.011, 0.075, 0.983];[359.333, 4.404, 198.67];1615060780.47429
-12.1663;por definir;[0.012, 0.076, 0.987];[359.333, 4.404, 198.67];1615060780.47429
-12.1663;por definir;[0.012, 0.076, 0.986];[359.332, 4.407, 198.709];1615060780.51167
-12.1764;por definir;[0.012, 0.076, 0.986];[359.332, 4.408, 198.756];1615060780.54447
-12.1461;por definir;[0.012, 0.075, 0.987];[359.329, 4.414, 198.812];1615060780.60978
-12.1239;por definir;[0.012, 0.076, 0.986];[359.331, 4.411, 198.837];1615060780.64423
-12.1239;por definir;[0.011, 0.076, 0.986];[359.331, 4.411, 198.837];1615060780.64423
-12.1542;por definir;[0.013, 0.076, 0.986];[359.332, 4.415, 198.883];1615060780.71289
-12.1764;por definir;[0.012, 0.075, 0.985];[359.332, 4.415, 198.921];1615060780.74042
-12.1885;por definir;[0.013, 0.076, 0.984];[359.331, 4.415, 199.0];1615060780.80615
-12.1885;por definir;[0.013, 0.076, 0.984];[359.331, 4.415, 199.0];1615060780.80615
-12.1925;por definir;[0.012, 0.075, 0.985];[359.329, 4.412, 199.01];1615060780.83847
-12.1441;por definir;[0.011, 0.075, 0.984];[359.33, 4.41, 199.008];1615060780.87539
